Delivery_ID,Pickup_Latitude,Pickup_Longitude,Dropoff_Latitude,Dropoff_Longitude,Delivery_Distance_km,Package_Weight_kg,Delivery_Time_Est_min,Order_Value,Platform_Fees,Time_of_Day,Day_of_Week,Weather_Condition,Delivery_Type,Traffic_Index,Delivery_Location_Type,Discount_Applied,Surge_Multiplier,Fuel_Cost,Total_Delivery_Fee
43,-28.7510415,163.647508,34.6263875,152.594457,7.66,10.11,83,15.73,3.04,Morning,Thursday,Sunny,Standard,0.78,Suburban,0.0,1.0,2.37,16.593
44,-88.26334,128.184103,-14.547357,10.084401,32.45,7.0,75,335.37,1.42,Evening,Thursday,Sunny,Express,1.42,Remote,0.0,1.0,6.74,37.62
45,-75.9422315,-73.500992,-16.4655395,-95.259048,13.18,18.76,197,429.46,4.47,Night,Monday,Sunny,Express,1.94,Suburban,16.38,1.0,9.02,17.034
46,45.250726,-112.225243,32.770778,-101.024826,32.17,14.96,80,293.91,4.24,Morning,Sunday,Cloudy,Express,1.97,Suburban,7.58,1.0,6.77,36.64600000000002
47,71.130009,55.874183,-17.007302,166.192424,5.8,4.6,76,189.53,3.88,Afternoon,Friday,Windy,Standard,1.74,Remote,0.0,1.0,1.97,12.79
48,-84.9007805,106.224108,1.5104845,-32.671098,38.25,16.38,23,279.92,1.5,Morning,Thursday,Sunny,Standard,1.94,Urban,8.03,1.74,5.15,71.03559999999999
49,55.297333,53.83664,29.8436285,-149.659478,17.53,10.83,182,425.01,1.18,Night,Thursday,Sunny,Express,0.78,Suburban,6.95,1.0,6.19,19.859
50,-28.055865,-99.561595,31.0883355,159.353331,17.58,2.51,107,321.43,4.0,Night,Tuesday,Rainy,Express,0.99,Suburban,0.0,1.0,9.8,29.119
51,22.0668135,130.140772,-24.2713925,-51.181463,27.12,19.51,64,320.05,4.35,Afternoon,Tuesday,Cloudy,Standard,1.28,Remote,13.32,1.0,7.6,30.081
52,86.99438,137.531097,40.8698915,149.187765,22.16,0.46,213,118.77,2.22,Afternoon,Wednesday,Snowy,Express,0.64,Suburban,16.65,1.0,1.86,5.388000000000002
53,-12.391342,-154.231615,-55.614977,-16.240232,41.83,8.23,228,311.02,4.1,Morning,Monday,Windy,Express,1.19,Remote,0.0,1.0,3.01,44.689
54,62.2373445,84.562499,-41.0495595,149.552943,32.42,18.53,30,264.7,3.88,Night,Saturday,Snowy,Standard,1.19,Remote,8.33,1.0,1.72,32.47100000000001
55,15.45657,-114.30915,69.5388905,118.707834,41.29,7.95,79,393.07,4.96,Afternoon,Friday,Sunny,Standard,0.55,Suburban,0.0,1.0,4.38,46.34700000000001
56,-38.546244,-14.670449,42.1947445,54.566307,31.26,13.12,186,306.96,3.82,Morning,Wednesday,Windy,Express,0.73,Suburban,5.15,1.0,6.27,36.508
57,0.0330845,158.632033,-62.1715635,-73.417802,24.34,11.14,214,320.6,3.23,Night,Saturday,Cloudy,Standard,1.96,Suburban,11.94,1.0,7.39,23.722
58,-14.014951,123.559152,-55.06199,0.603267,16.31,2.62,148,122.67,3.05,Afternoon,Sunday,Windy,Standard,0.59,Urban,12.49,1.0,4.57,9.488000000000001
59,46.301013,-77.910104,-23.1367045,-8.180127,23.76,6.92,204,232.09,3.03,Morning,Saturday,Rainy,Express,0.56,Urban,8.16,1.0,8.58,25.918
60,-37.415456,89.378615,-83.5946925,73.27272,49.57,9.99,112,459.06,3.75,Morning,Friday,Rainy,Standard,1.04,Suburban,0.0,2.27,7.59,127.09957
61,18.92463,124.266973,-74.288245,0.873378,27.12,6.79,238,426.29,2.94,Morning,Thursday,Cloudy,Express,1.08,Remote,17.94,1.27,4.5,23.37437000000001
62,-4.4797965,-178.918805,24.7398695,-92.386223,48.6,0.44,45,42.83,5.0,Night,Tuesday,Snowy,Express,0.64,Urban,0.0,1.0,1.88,45.98
63,26.7475415,-33.424261,56.3551915,78.031184,10.88,19.83,60,319.32,4.17,Evening,Saturday,Rainy,Standard,1.37,Urban,13.34,1.0,7.98,17.429
64,-19.09913,-20.651204,-27.6665305,-6.58985,4.48,4.59,87,482.01,3.93,Evening,Saturday,Snowy,Express,1.11,Remote,0.0,2.18,5.18,32.67602
65,-42.1263035,155.99147,5.356662,-94.883055,21.33,6.5,26,133.04,0.99,Morning,Sunday,Snowy,Express,0.52,Suburban,0.0,1.0,3.76,25.064
66,-38.7769885,124.3881,-29.1612585,-28.213101,37.26,16.62,49,306.73,1.54,Afternoon,Sunday,Rainy,Express,0.65,Suburban,8.75,1.0,2.89,33.798
67,-48.8205285,-63.241008,49.2779475,-54.060901,3.42,17.97,50,429.13,3.0,Night,Wednesday,Rainy,Express,1.07,Suburban,12.0,1.0,7.65,10.371
68,-76.0299625,-47.721748,-3.6920215,9.599753,2.53,8.13,177,25.3,3.18,Evening,Thursday,Sunny,Express,1.64,Remote,0.0,1.0,3.26,12.529
69,-72.2961765,60.047956,-73.4794465,129.721783,37.55,4.92,81,281.11,2.9,Morning,Wednesday,Sunny,Express,0.79,Urban,8.68,1.0,9.64,36.36
70,24.2661995,-84.725594,-56.352002,-45.151059,30.24,19.61,153,449.74,1.49,Night,Friday,Cloudy,Standard,1.57,Urban,2.15,1.0,6.07,39.407
71,-87.136748,18.48605,16.922091,94.845464,33.02,15.92,188,184.23,4.75,Evening,Thursday,Sunny,Express,1.78,Suburban,0.0,1.0,4.59,43.71600000000001
72,-23.161181,-75.019345,53.3693535,-96.977466,16.77,16.96,155,218.3,2.52,Night,Sunday,Sunny,Standard,1.83,Remote,0.0,1.0,4.73,29.146
73,-32.764552,136.055905,85.16087,-47.696775,47.26,8.36,171,98.53,4.04,Evening,Sunday,Rainy,Express,0.68,Urban,0.0,1.86,4.84,94.61448
74,82.2211725,64.870636,-41.8916825,-17.030867,18.51,19.49,177,499.91,2.16,Morning,Friday,Windy,Express,1.08,Remote,0.0,1.0,6.44,33.153
75,-13.2945035,-163.306906,-74.528554,-13.885675,10.84,13.4,92,110.26,4.9,Morning,Monday,Snowy,Standard,1.45,Remote,5.89,1.0,6.61,20.992
76,-5.6691195,-153.400867,-12.6865435,-144.438822,36.5,19.24,22,67.63,3.93,Night,Friday,Cloudy,Standard,0.71,Urban,17.41,1.0,3.57,28.91
77,-22.03442,-44.145994,0.2366135,73.91916,34.59,13.33,154,468.09,1.79,Evening,Wednesday,Windy,Standard,0.85,Urban,11.62,1.0,6.63,31.13700000000001
78,-42.163194,107.8433,75.944722,-13.214179,37.82,19.4,234,15.71,3.57,Night,Monday,Rainy,Express,1.09,Remote,0.0,1.0,8.94,52.466
79,-84.7597795,-98.016122,28.0848175,-89.781169,38.48,12.77,169,232.1,2.67,Morning,Tuesday,Sunny,Express,1.14,Suburban,9.27,1.0,2.52,33.089
80,30.808029,-51.714076,17.9176055,-69.341998,8.12,3.52,36,378.78,2.92,Morning,Tuesday,Sunny,Standard,1.47,Urban,13.53,1.0,3.04,0.6860000000000017
81,-53.351392,22.217846,-35.5845065,-97.054133,12.94,10.13,178,286.97,3.26,Morning,Monday,Sunny,Standard,0.7,Urban,0.0,1.0,3.37,22.047
82,-88.5715835,18.59557,-23.062938,-166.803337,33.95,5.32,164,27.3,4.72,Night,Thursday,Windy,Standard,1.9,Remote,0.0,1.0,3.36,37.90000000000001
83,22.652777,41.315379,-8.1585185,160.785422,47.51,19.21,239,79.62,2.67,Morning,Tuesday,Cloudy,Express,0.74,Remote,7.72,1.0,3.5,46.063
84,-53.80029,-171.686847,-76.7857825,-150.435247,34.36,5.38,83,281.72,2.53,Afternoon,Tuesday,Windy,Standard,0.8,Suburban,0.0,1.53,3.79,55.84193999999999
85,-82.738905,-175.981683,-36.8251255,61.448248,46.57,5.19,230,91.16,2.39,Evening,Friday,Sunny,Express,0.69,Remote,0.0,1.0,3.03,45.271
86,43.8830555,-9.09037,-59.6970445,149.090428,26.85,3.61,82,273.12,2.11,Evening,Saturday,Rainy,Standard,1.15,Remote,0.0,1.0,2.42,27.815
87,25.6225545,97.305565,-39.930675,115.871085,13.67,10.35,166,342.19,2.41,Morning,Wednesday,Rainy,Standard,0.97,Urban,13.92,1.0,3.57,8.171000000000001
88,87.501704,138.061075,77.851539,-149.028346,18.51,6.45,51,315.27,2.88,Night,Monday,Snowy,Standard,0.72,Urban,0.0,1.0,9.56,30.473
89,-74.5325085,-97.773794,-46.50832,85.157836,19.41,5.93,78,62.7,3.75,Night,Thursday,Snowy,Express,1.02,Suburban,0.0,1.0,2.29,24.533
90,30.612627,140.326781,54.147064,22.503287,40.15,6.32,184,490.38,2.8,Morning,Saturday,Snowy,Express,1.65,Urban,13.73,1.0,5.97,30.32
91,-0.3794075,-123.115086,34.3191415,178.671005,22.56,16.87,30,332.99,3.26,Morning,Thursday,Windy,Standard,1.33,Remote,0.0,1.53,6.14,54.90098999999999
92,37.1389755,120.583408,57.617308,-80.09675,15.6,19.96,189,173.92,3.12,Night,Sunday,Snowy,Standard,1.71,Urban,0.0,1.0,2.59,28.17
93,-67.915758,-129.791617,-46.1781195,-25.508097,21.06,19.15,47,499.74,0.56,Evening,Sunday,Sunny,Standard,1.59,Remote,5.89,2.62,8.52,87.12786
94,-54.353425,37.745502,-67.7487235,-3.939681,35.48,9.2,119,211.9,1.25,Afternoon,Friday,Snowy,Express,1.52,Urban,18.23,1.0,2.09,18.094
95,64.508278,-178.835539,-66.3103915,144.588185,17.05,18.31,28,103.18,0.65,Night,Tuesday,Windy,Standard,1.13,Remote,0.0,1.0,1.29,24.735
96,59.4635115,140.44462,43.332828,23.896591,41.25,5.52,173,211.32,3.8,Night,Tuesday,Rainy,Standard,0.77,Suburban,0.0,1.0,8.62,48.17999999999999
97,-24.639777,154.401833,-9.8089715,-60.031718,10.55,19.43,17,119.51,2.78,Evening,Thursday,Snowy,Standard,0.84,Remote,17.41,1.0,8.87,12.395
98,79.335505,89.345104,20.8565775,-98.136256,36.35,10.3,233,57.81,1.62,Afternoon,Sunday,Cloudy,Standard,1.34,Remote,0.0,1.0,8.51,44.36
99,-25.7476775,6.198169,-18.5473455,77.549037,47.23,11.02,133,384.12,1.79,Night,Thursday,Cloudy,Express,1.83,Suburban,0.0,1.0,3.3,48.38399999999999
100,21.52282,132.771526,-38.322062,-175.363447,19.74,15.37,195,462.93,2.99,Afternoon,Thursday,Sunny,Express,1.8,Remote,0.0,1.0,2.12,28.587
101,51.321304,-134.200721,6.580965,109.803422,35.85,16.76,151,29.48,4.64,Morning,Thursday,Snowy,Standard,1.2,Remote,0.0,1.0,6.2,47.90000000000001
102,-19.7028425,-21.361521,-79.1514185,-34.287264,5.5,17.11,135,346.32,3.11,Evening,Monday,Snowy,Standard,1.24,Urban,12.26,1.0,7.67,11.475
103,-67.433905,-117.184678,76.177615,-171.499618,25.35,5.5,168,331.59,4.09,Night,Thursday,Snowy,Standard,1.97,Urban,0.0,1.0,7.46,34.58
104,54.1057525,-173.647883,-78.786921,-142.581837,5.97,10.45,89,368.07,1.87,Evening,Monday,Snowy,Standard,0.55,Remote,16.27,1.0,3.29,-1.109000000000002
105,-50.868566,135.063659,-54.3572815,61.068389,36.68,13.99,46,42.78,1.6,Morning,Sunday,Cloudy,Express,1.15,Suburban,0.0,1.0,1.38,39.319
106,9.2670815,66.115632,-40.6963655,146.559211,3.74,10.65,52,191.23,0.92,Afternoon,Wednesday,Snowy,Standard,1.9,Urban,5.5,1.0,9.57,13.307
107,-14.1014755,-60.253257,-52.982285,100.935976,31.2,6.81,212,476.58,4.45,Afternoon,Wednesday,Rainy,Express,1.03,Suburban,0.0,1.0,8.89,41.70500000000001
108,0.0619435,-131.040927,67.198531,18.201818,24.63,18.03,92,141.85,1.63,Night,Monday,Rainy,Express,0.55,Suburban,0.0,1.0,1.0,31.349
109,-78.031112,95.084049,-1.839337,-136.500086,7.72,7.19,49,199.01,1.84,Night,Monday,Sunny,Express,1.33,Suburban,14.61,1.73,6.47,16.67013
110,-16.110868,97.113873,-5.7020365,15.21379,44.21,10.34,38,128.93,4.24,Night,Wednesday,Sunny,Standard,0.82,Remote,0.0,1.0,3.85,48.62800000000001
111,33.607933,-121.177925,65.503896,-52.899241,17.39,0.45,82,478.28,2.57,Night,Monday,Cloudy,Standard,0.97,Urban,3.23,1.0,5.23,18.707
112,77.2506285,-126.104993,-82.601783,-161.066203,1.98,11.13,79,290.72,3.59,Morning,Tuesday,Sunny,Express,0.9,Suburban,0.0,1.0,8.02,18.759
113,-8.214088,-122.672328,-46.786187,135.334212,43.91,4.06,133,157.56,3.75,Morning,Sunday,Rainy,Express,1.39,Remote,11.12,1.0,8.43,38.218
114,2.1334605,171.045277,-10.6115265,23.630959,33.25,7.39,74,220.39,3.82,Night,Wednesday,Rainy,Standard,1.84,Suburban,0.0,1.0,1.16,35.275
115,-9.4707355,9.630802,49.4669445,-90.636448,34.42,15.19,150,14.1,1.97,Morning,Monday,Rainy,Express,0.75,Urban,0.0,2.68,7.67,119.98628
116,38.219365,164.41724,20.995181,-115.28571,27.65,14.48,96,89.31,0.93,Evening,Friday,Rainy,Express,1.36,Remote,0.0,1.58,9.05,62.15720000000001
117,10.6411115,-130.102933,25.509932,64.768367,32.47,11.67,224,327.49,0.83,Night,Monday,Windy,Standard,1.26,Suburban,0.0,1.0,3.14,35.781
118,83.0239305,-179.843474,-42.573558,-43.337381,34.65,5.88,82,281.36,3.61,Evening,Wednesday,Sunny,Express,1.11,Suburban,0.0,1.0,4.69,38.96
119,29.3623855,116.504679,55.574258,-108.828108,13.67,4.18,156,274.6,1.85,Evening,Monday,Sunny,Standard,1.92,Suburban,0.0,2.28,6.58,48.91967999999999
120,-56.174343,-79.493019,60.2239135,34.366248,38.67,2.55,112,153.79,1.82,Afternoon,Thursday,Sunny,Standard,1.26,Suburban,0.0,1.83,9.56,79.77153000000001
121,16.9962645,63.378353,45.6207955,-179.273723,20.32,15.52,195,462.75,0.92,Morning,Sunday,Snowy,Express,0.86,Urban,0.0,1.0,7.06,31.996
122,4.6488215,-30.172294,-84.005348,-93.430828,36.93,6.42,179,17.99,0.93,Evening,Saturday,Snowy,Standard,1.9,Urban,0.0,1.0,5.18,38.864
123,78.5736365,167.922461,-19.480938,-170.26341,39.83,11.32,173,32.97,4.53,Night,Wednesday,Snowy,Standard,0.97,Urban,0.0,1.0,7.58,49.634
124,35.1433835,21.781737,-58.8813005,-12.614038,12.65,10.76,231,342.35,0.56,Evening,Monday,Windy,Standard,1.47,Urban,15.36,1.0,2.49,3.189999999999998
125,32.3583315,-67.688879,-30.2025235,-104.663835,47.35,6.32,42,122.59,1.82,Evening,Thursday,Rainy,Express,0.74,Urban,4.93,1.0,9.19,47.12
126,-42.0767955,169.970997,-59.368395,-140.390008,17.57,0.54,229,302.47,1.98,Night,Tuesday,Sunny,Standard,1.45,Remote,0.0,1.0,8.56,24.866
127,-13.711458,91.539382,-14.0780785,157.864069,10.64,1.77,30,125.39,0.82,Night,Sunday,Rainy,Standard,1.27,Remote,0.0,1.0,6.26,16.477
128,-34.307706,-57.223745,57.710983,141.268423,44.99,17.82,79,203.97,2.04,Night,Monday,Snowy,Standard,1.23,Urban,0.0,2.92,8.79,162.73744
129,84.696314,-7.523706,-50.6565625,22.155512,22.89,15.07,69,490.97,0.56,Morning,Thursday,Rainy,Express,0.54,Urban,4.61,1.0,3.02,24.817
130,30.5535785,77.266932,-45.681902,-162.207582,13.6,13.32,187,458.03,3.29,Night,Saturday,Snowy,Standard,1.63,Urban,0.0,1.47,6.82,40.6455
131,-23.301885,80.75743,78.149491,35.290368,15.34,2.9,58,186.46,1.13,Night,Friday,Cloudy,Express,1.02,Remote,0.0,1.0,5.14,19.992
132,-4.3068555,-136.778046,54.3431435,-144.434688,21.55,12.79,120,163.92,2.96,Afternoon,Tuesday,Snowy,Standard,1.97,Urban,14.66,1.0,6.96,18.895
133,40.509181,68.35987,-4.5395675,82.982607,36.54,1.28,219,129.19,4.85,Afternoon,Wednesday,Windy,Standard,1.17,Remote,1.88,1.0,8.12,40.962
134,-65.0075215,-124.339178,-5.7327905,-83.487147,30.38,3.37,21,465.98,2.68,Night,Wednesday,Rainy,Express,1.67,Remote,16.98,2.27,3.68,56.45223
135,52.442024,-31.202506,37.578234,40.061939,44.54,9.29,208,83.11,1.98,Afternoon,Monday,Windy,Express,1.54,Suburban,0.0,1.0,3.27,45.527
136,10.294409,11.497699,22.9589485,104.419287,25.1,18.55,132,268.26,0.7,Night,Saturday,Rainy,Standard,0.87,Remote,0.0,1.0,1.45,31.505
137,81.15599,168.573828,-40.423788,63.744823,44.77,13.6,181,125.24,3.06,Morning,Friday,Snowy,Standard,1.69,Suburban,0.0,2.91,8.51,157.68126
138,-79.1988265,-46.881506,0.9818035,56.843188,29.48,19.52,95,442.19,2.22,Morning,Monday,Snowy,Standard,1.75,Remote,0.0,1.0,5.64,41.204
139,-86.814711,-5.967062,-31.808131,142.503617,30.11,11.38,93,135.46,4.94,Morning,Sunday,Rainy,Standard,1.43,Suburban,0.0,1.0,6.98,41.69800000000001
140,40.326166,143.599375,-59.9894505,111.327249,36.83,13.51,201,477.81,2.65,Afternoon,Tuesday,Windy,Express,1.52,Urban,5.74,1.0,9.82,42.949
141,-39.6033795,125.447153,-78.786415,54.910838,16.46,11.53,105,375.58,3.46,Morning,Thursday,Rainy,Standard,1.04,Remote,0.0,2.62,9.68,84.03126
142,-69.1724925,-161.490836,-22.1595035,36.049261,12.37,17.52,32,339.93,2.77,Morning,Thursday,Windy,Standard,1.35,Suburban,0.0,1.0,9.94,31.366
143,-8.899114,148.984604,-87.38292,-172.289942,34.9,10.37,144,348.54,3.2,Afternoon,Saturday,Rainy,Express,0.61,Urban,0.0,1.15,1.7,43.70575000000001
144,-49.0881895,-11.75676,5.654715,0.352681,16.38,1.31,32,481.89,1.11,Night,Wednesday,Cloudy,Express,0.59,Remote,0.0,1.0,1.58,16.449
145,-68.8909095,-83.686993,-81.8828045,112.143133,34.61,6.84,150,365.69,1.01,Afternoon,Sunday,Cloudy,Standard,1.24,Remote,0.0,1.0,7.53,39.648
146,40.11039,39.789845,-41.625433,-177.167364,34.35,6.28,29,459.42,4.51,Afternoon,Friday,Snowy,Express,1.87,Urban,18.05,1.0,8.8,25.88000000000001
147,33.2533545,-119.043701,-76.3488155,-116.180238,18.99,11.89,132,251.26,2.75,Evening,Saturday,Cloudy,Standard,0.59,Urban,0.0,1.0,7.45,31.337
148,4.839871,-173.477825,-62.429014,65.540933,48.86,6.75,150,209.13,1.83,Afternoon,Sunday,Snowy,Express,1.23,Remote,0.0,2.87,1.73,132.08601
149,74.202854,-68.835389,-62.7714025,90.676897,14.77,14.7,229,192.68,2.15,Night,Tuesday,Snowy,Standard,1.43,Suburban,0.0,1.0,5.9,27.216
150,2.632271,116.769865,-88.1744615,-6.500325,2.37,2.29,10,187.98,1.38,Morning,Friday,Cloudy,Express,0.75,Urban,7.68,1.0,3.08,-0.1789999999999994
151,63.7429375,-170.569803,-41.011451,125.206256,34.76,12.71,145,366.09,3.89,Morning,Friday,Rainy,Standard,1.38,Urban,0.0,1.61,3.21,66.43343
152,-13.251729,153.21013,32.919984,-52.596938,22.7,19.22,227,237.07,2.05,Morning,Thursday,Rainy,Express,1.38,Urban,9.23,1.0,3.07,23.66
153,86.278558,104.282352,-2.006004,-178.447899,4.66,4.51,150,56.8,2.73,Night,Monday,Windy,Standard,0.8,Urban,0.0,1.09,5.13,15.08887
154,-30.465884,106.317538,-29.9143275,-78.055659,45.91,6.41,123,468.66,2.29,Afternoon,Monday,Cloudy,Express,0.76,Remote,0.0,1.0,1.6,43.823
155,-39.8360285,2.027416,12.6444805,32.65395,14.83,2.75,228,194.01,1.04,Night,Friday,Sunny,Express,1.64,Urban,0.0,1.0,4.25,18.529
156,67.954864,-54.883645,26.119461,-67.214033,26.21,3.83,21,434.72,1.04,Morning,Tuesday,Snowy,Express,1.64,Urban,0.0,1.0,3.63,27.553
157,55.307704,-105.49295,-22.4618445,114.479283,32.5,4.28,159,25.36,1.97,Afternoon,Saturday,Cloudy,Express,1.89,Remote,0.0,1.0,3.06,33.17
158,-25.812885,-3.314191,74.831833,87.747617,12.84,0.44,32,179.39,1.1,Night,Wednesday,Snowy,Express,0.52,Urban,0.0,1.0,6.54,18.132
